TEMSEID (Not found...)|MANDANT (Queue client)|CREDATE (Queue creation date)|CRETIME (Queue creation time)|GROUPID (Group name: Batch input session name)|QID (Queue identification (unique key))|CREATOR (Queue user ID / for historical reasons)|DESTSYS (Queue target system)|STATUS (Queue status)
BDCLG050184000355287|800|20020111|145214|JOSWIGT|02011114520501840003|JOSWIGT|pswdf025|R
BDCLG050408000794938|800|20040502|101617|RPTPBSR01016|04050210160504080007|I019507|iwdf9431|R
BDCLG050531000185343|800|20020515|154124|JOSWIGT|02051515410505310001|JOSWIGT|pswdf025|R
BDCLG051106850228891|800|20010103|160542|RABUCH|20010103160511068502|OLBERT|pswdf025|R
BDCLG051328000199199|800|20040429|111003|5400/1000|04042911080513280001|LCHAMDONDOG|iwdf9431|R
BDCLG054396000258122|800|20040621|113049|I011321|04062111300543960002|I011321|iwdf9431|R
BDCLG055308973571249|800|20111122|53814|IT2002|11112205380553089735|C5140081|id3tdc00|R
BDCLG055320186988596|800|20111122|73014|IT2002|11112207300553201869|C5140081|id3tdc00|R
BDCLG060204753139771|800|20110401|84421|I046762|11040108440602047531|I046762|id3tdc00|R
BDCLG060408000697652|800|20040502|101442|RPTSHF00|04050210140604080006|I019507|iwdf9431|R
BDCLG060408000891074|800|20040502|101717|RPTPBSR01017|04050210170604080008|I019507|iwdf9431|R
BDCLG060886000177341|800|20020412|154228|BONIN|02041215420608860001|BONIN|pswdf025|R
BDCLG060888003946956|800|20011219|164515|RABUCH300012|01121916450608880039|OLBERT|pswdf025|R
BDCLG061656482250087|800|20111122|65415|IT2002|11112206540616564822|C5140081|id3tdc00|R
BDCLG062104780170228|800|20000821|160909|BABU|20000821160621047801|OTTENBACHER|pswdf025|R
BDCLG062124294062637|800|20111115|24159|C51636023707|11111502370621242940|C5163677|id3tdc00|R
BDCLG062304780279465|800|20000821|161110|NEBU|20000821160623047802|OTTENBACHER|pswdf025|R
BDCLG063140000156213|800|20040520|131119|RPTQTA00|04052013090631400001|I011321|iwdf9431|R
BDCLG069444346051206|800|20111108|3118|KDS1001B007|11110800310694443460|C5115457|id3tdc00|R
BDCLG070404000218969|400|20011210|144225|RABUCH12001|01121014410704040002|HARTMANNJOE|pswdf025|R
BDCLG070848921892153|800|20111107|235123|KDS1001B007|11110723510708489218|C5115457|id3tdc00|R
BDCLG071036556511584|800|20120202|51013|PFRTCTRS3|12020205100710365565|C5165216|id3tdc00|R
BDCLG074924035942655|800|20120207|82120|C5165216|12020708130749240359|C5165216|id3tdc00|R
BDCLG074924035962687|800|20120207|81318|C5165216|12020708130749240359|C5165216|id3tdc00|R
BDCLG074924035993954|800|20120207|82325|C5165216|12020708130749240359|C5165216|id3tdc00|R
BDCLG075268765457873|800|20111114|224801|C51636224707|11111422470752687654|C5163677|id3tdc00|R
BDCLG076848933659240|800|20071211|152409|RFUMSV00|07121115240768489336|D037397|id3tdc00|R
BDCLG077476041441315|800|20100709|124514|IT8|10070912450774760414|C5140081|id3tdc00|R
BDCLG079832079476832|800|20111107|234319|KDS1001B007|11110723430798320794|C5115457|id3tdc00|R
BDCLG080888001513939|800|20011218|155916|RABUCH JA 12|01121815590808880015|OLBERT|pswdf025|R
BDCLG081206600130409|400|20001218|130832|RABUCH12991|20001218130812066001|HARTMANNJOE|pswdf025|R
BDCLG081420000226662|514|20010807|83130|AWS 0831|01080708310814200002|MASTER|pswdf025|R
BDCLG082412000136015|800|20040416|103532|NRS|04041610350824120001|I019507|iwdf9431|R
BDCLG084356221807859|800|20080110|100538|FAGL_FC_VALU|08011010030843562218|D037397|id3tdc00|R
BDCLG085060000248178|800|20030411|154525|RASKBU|03041115450850600002|THIBAULT|iwdfim01|R
BDCLG085060000284961|800|20030411|154638|RASKBU|03041115450850600002|THIBAULT|iwdfim01|R
BDCLG088232403139869|800|20111118|11033|PA3022|11111801090882324031|PITTEN|id3tdc00|R
BDCLG094068427217111|800|20080115|154624|IT2011|08011515460940684272|WEISSANJA|id3tdc00|R
BDCLG094356221916244|800|20080110|110526|FAGL_FC_VALU|08011011030943562219|D037397|id3tdc00|R
BDCLG094396000335567|800|20040622|71301|13M 0712|04062207120943960003|I008528|iwdf9431|R
BDCLG095306600297422|400|20001218|141015|RABUCH12001|20001218140953066002|HARTMANNJOE|pswdf025|R
BDCLG095784334737039|809|20090507|143216|MFC_DEMO_FB0|09050714320957843347|D030206|id3tdc00|R
BDCLG095848000270112|800|20030212|165735|RPIJSTD0|03021216570958480002|SCHMEDDING|iwdfim01|R
BDCLG096452643920410|800|20100709|122321|IT8|10070912230964526439|C5140081|id3tdc00|R
BDCLG097648298076076|800|20100708|124126|IT8|10070812400976482980|C5140081|id3tdc00|R
BDCLG097648298080518|800|20100708|124016|IT8|10070812400976482980|C5140081|id3tdc00|R
BDCLG100408001054583|800|20040502|102013|RPTPBSR01019|04050210191004080010|I019507|iwdf9431|R
BDCLG100888000967453|800|20011218|155427|RABUCH JA 06|01121815541008880009|OLBERT|pswdf025|R
BDCLG100888001169211|800|20011218|155620|RABUCH JA 08|01121815561008880011|OLBERT|pswdf025|R
BDCLG100892186028432|625|20050413|101526|GNP 1015|05041310151008921860|HOF|iwdf9431|R
BDCLG102124293517874|800|20111115|11127|C51636011111|11111501111021242935|C5163677|id3tdc00|R
BDCLG103092367702661|800|20110909|135443|RPTSHF00|11090913531030923677|WEISSANJA|id3tdc00|R
BDCLG104344599822147|800|20090511|114357|IT2011|09051111421043445998|WEISSANJA|id3tdc00|R
BDCLG104344599862554|800|20090511|114254|IT2011|09051111421043445998|WEISSANJA|id3tdc00|R
BDCLG105920030808479|800|20111115|225519|KDS1001B007|11111522551059200308|C5115457|id3tdc00|R
BDCLG107988866034175|800|20120209|122120|COSTCENTRES3|12020912211079888660|C5165216|id3tdc00|R
BDCLG110892186119537|625|20050413|101824|GNP 1018|05041310181108921861|HOF|iwdf9431|R
BDCLG110892186192940|625|20050413|104306|GNP 1018|05041310181108921861|HOF|iwdf9431|R
BDCLG110907000644638|800|20011212|165741|RABUCH06/01|01121216571109070006|OLBERT|pswdf025|R
BDCLG111074000115907|532|20011218|183803|HMXCAGU0|01121818371110740001|VAZQUEZL|pswdf025|R
BDCLG111732000611900|800|20040429|152202|4300/1000|04042915181117320006|WALTHERK|iwdf9431|R
BDCLG112736000473941|501|20040422|152941|PK_LOBT1998|04042215251127360004|PK-EXPERTE|iwdf9431|R
BDCLG113648727617610|800|20111230|101219|IT2007|11123010121136487276|C5140081|id3tdc00|R
BDCLG116592215259126|800|20091120|124230|RPTQTA00|09112012391165922152|WEISSANJA|id3tdc00|R
BDCLG120408000167236|800|20040502|100337|RPTPBSR01000|04050210001204080001|I019507|iwdf9431|R
BDCLG120408000177857|800|20040502|100224|RPTPBSR01000|04050210001204080001|I019507|iwdf9431|R
BDCLG120408000185885|800|20040502|100148|RPTPBSR01000|04050210001204080001|I019507|iwdf9431|R
BDCLG120408000189074|800|20040502|100038|RPTPBSR01000|04050210001204080001|I019507|iwdf9431|R
BDCLG120518000610072|800|20020308|190435|RIMODGENVR|02030819041205180006|MICHALSKY|pswdf025|R
BDCLG123688457700139|800|20060920|114632|FLOC1|06092011431236884577|I035497|id3tdc00|R
BDCLG123688457775559|800|20060920|114328|FLOC1|06092011431236884577|I035497|id3tdc00|R
BDCLG123956000156111|800|20030606|200854|NAVA|03060620081239560001|NAVA|iwdfim01|R
BDCLG124506850701717|800|20010104|131255|RABUCH|20010104131245068507|OLBERT|pswdf025|R
BDCLG125124918038157|800|20111108|212323|KDS1001B007|11110821231251249180|C5115457|id3tdc00|R
BDCLG125124918063757|800|20111108|212346|KDS1001B007|11110821231251249180|C5115457|id3tdc00|R
BDCLG125124918066745|800|20111108|212725|KDS1001B007|11110821231251249180|C5115457|id3tdc00|R
BDCLG125916000156706|800|20030325|124539|RPCSVWD0|03032512451259160001|REICHERTMAR|iwdfim01|R
BDCLG125920030407720|800|20111115|14234|C51636014213|11111501421259200304|C5163677|id3tdc00|R
BDCLG125920030493085|800|20111115|14931|C51636014213|11111501421259200304|C5163677|id3tdc00|R
BDCLG128283001066072|513|20010214|34613|GCERTS|01021403461282830010|BEWLEYL|pswdf025|R
BDCLG130441000767059|625|20010730|72129|NRS-00|01073007201304410007|HOF|pswdf025|R
BDCLG132505850167981|501|20000524|171357|RPTSHF00|20000524171325058501|PLAHL|pswdf025|R
BDCLG132576000180837|800|20040429|104848|S330/1000|04042910451325760001|LCHAMDONDOG|iwdf9431|R
BDCLG134303230456751|800|20001005|161357|NEBU|20001005161343032304|OTTENBACHER|pswdf025|R
BDCLG134960879975715|800|20090421|141451|IT2011|09042114131349608799|WEISSANJA|id3tdc00|R
BDCLG135132000208703|800|20030627|203614|IV10000|03062720361351320002|LINDHOLM|iwdfim01|R
BDCLG135132000231540|800|20030627|220046|IV10000|03062720361351320002|LINDHOLM|iwdfim01|R
BDCLG135132000243769|800|20030627|232932|IV10000|03062720361351320002|LINDHOLM|iwdfim01|R
BDCLG135132000260122|800|20030627|212426|IV10000|03062720361351320002|LINDHOLM|iwdfim01|R
BDCLG135132000278593|800|20030627|204523|IV10000|03062720361351320002|LINDHOLM|iwdfim01|R
BDCLG135132000299781|800|20030627|231512|IV10000|03062720361351320002|LINDHOLM|iwdfim01|R
BDCLG135268765073222|800|20111114|204558|C51154204514|11111420451352687650|C5115457|id3tdc00|R
BDCLG135606851372105|800|20010105|111404|RABUCH10|20010105111356068513|OLBERT|pswdf025|R
BDCLG140888002043516|800|20011218|162423|RABUCH5F100|01121816241408880020|OLBERT|pswdf025|R
BDCLG141036556666929|800|20120202|52122|COSTCENTRES3|12020205211410365566|C5165216|id3tdc00|R
BDCLG141732000273614|800|20040429|145252|4400/1000|04042914511417320002|WALTHERK|iwdf9431|R
BDCLG142980002018254|800|20021115|194344|RPIPSR00|02111519431429800020|ROTHERMEL|iwdfim01|R
BDCLG143506850376989|800|20010103|161514|RABUCH|20010103161435068503|OLBERT|pswdf025|R
BDCLG145000187351653|800|20090422|190717|IT2011|09042218231450001873|WEISSANJA|id3tdc00|R
BDCLG145000187387215|800|20090422|190806|IT2011|09042218231450001873|WEISSANJA|id3tdc00|R
BDCLG145092000200631|800|20041129|25031|PA_0000|04112902501450920002|I026275|iwdf9431|R
BDCLG145296802382506|800|20111122|51427|IT2002|11112205141452968023|C5140081|id3tdc00|R
BDCLG145296802448923|800|20111122|54621|IT2002|11112205461452968024|C5140081|id3tdc00|R
BDCLG146668661131669|809|20090507|144122|MFC_DEMO_FB0|09050714411466686611|D030206|id3tdc00|R
BDCLG147476041344506|800|20100709|123920|IT8|10070912391474760413|C5140081|id3tdc00|R
BDCLG147988865821578|800|20120207|70330|C5165216|12020707031479888658|C5165216|id3tdc00|R
BDCLG148232402670267|800|20111115|233322|KDS1001B007|11111523331482324026|C5115457|id3tdc00|R
BDCLG148364706104369|800|20120206|114433|C5165216|12020611441483647061|C5165216|id3tdc00|R
BDCLG150177000244456|800|20020315|215729|A/P_ACCOUNTS|02031521571501770002|PITTEN|pswdf025|R
BDCLG150184000767244|800|20020111|151130|JOSWIGT|02011115111501840007|JOSWIGT|pswdf025|R
BDCLG150408000201665|800|20040502|101503|RPTSHF00|04050210111504080002|I019507|iwdf9431|R
BDCLG150717001004562|625|20010712|65335|FELICE1 0653|01071206531507170010|HOF|pswdf025|R
BDCLG150888003771247|800|20011219|161622|RABUCH300010|01121916161508880037|OLBERT|pswdf025|R
BDCLG151126000123154|800|20020806|193508|A/P_ACCOUNTS|02080619341511260001|SHEARMAN|pswdf025|R
BDCLG151456000113301|800|20030626|200718|IV10000|03062620071514560001|LINDHOLM|iwdfim01|R
BDCLG152124292931065|800|20111114|223729|C51636223615|11111422361521242929|C5163677|id3tdc00|R
BDCLG152900940128201|512|20001019|151615|ZTESTLBO|20001019151529009401|BOODTSL|pswdf025|R
